test,28-05-2024 11:43:21
test,28-05-2024 11:43:48
test,28-05-2024 11:46:55
test,28-05-2024 11:47:39
,28-05-2024 15:47:32
1. Adăugare Zbor,28-05-2024 15:59:18
2. Vizualizare Detalii Zbor,28-05-2024 15:59:35
3. Actualizare Zbor,28-05-2024 16:00:07
4. Ștergere Zbor,28-05-2024 16:00:48
5. Adăugare Pasager,28-05-2024 16:01:12
6. Vizualizare Listă Pasageri pentru un Zbor,28-05-2024 16:01:48
7. Modificare Detalii Pasager,28-05-2024 16:02:05
8. Căutarea Zborurilor după Destinație,28-05-2024 16:02:39
9. Verificarea disponibilității Zborului,28-05-2024 16:02:41
1. Adăugare Zbor,28-05-2024 17:01:26
2. Vizualizare Detalii Zbor,28-05-2024 17:01:34
3. Actualizare Zbor,28-05-2024 17:01:48
5. Adăugare Pasager,28-05-2024 17:06:03
10. Generare raport Zborurui,28-05-2024 17:08:38
9. Verificarea disponibilității Zborului,28-05-2024 17:08:54
8. Căutarea Zborurilor după Destinație,28-05-2024 17:08:57
9. Verificarea disponibilității Zborului,28-05-2024 17:09:01
